heroID,userName,walletAddrmainClass,Level,Summoner,Assistant,Main class,Sub class,Profession,Gender,Element,Xp,Level,Hp,Mp,Sp,Stamina,Summons,Stat boost1,Stat boost2,Strength,Endurance,Wisdom,Vitality,Dexterity,Intelligence,Luck,Agility,Mining,Gardening,Foraging,Fishing
31, Ixabache,0xcb329f653898c95fa6616d633132f44c06422c11,WIZARD,Gen 0 - RARE,Wizard,Warrior,gardening,female,fire,2108,4,185,88,0,27,∞,VIT,INT,6,11,16,11,7,17,9,8,2,84,46,1
27, bigcahoona,0xa51b6a002c58636c1be88c223404e99ed6e8d048,PRIEST,Gen 0 - RARE,Priest,Archer,fishing,male,wind,2665,3,146,78,0,26,∞,LCK,LCK,7,7,15,7,6,11,14,9,0,0,0,100
11, Pogo,0x85309ee0e9a7bf9a7d2e86ca89282b6fc7315f5b,MONK,Gen 0 - MYTHIC,Monk,Priest,foraging,male,lightning,0,1,135,40,0,25,∞,DEX,INT,10,9,9,8,10,7,8,11,0,0,0,0
13, missfreyala,0xb0b9a0b9b0fa21ad39835f1671c43ef7a3e57879,THIEF,Gen 0 - MYTHIC,Thief,Thief,foraging,female,dark,713,5,233,72,0,27,∞,INT,DEX,13,7,16,11,13,16,21,11,0,0,155,0
21, pieface,0x0a81cacc9fd26f34363a415b6dd69c45ca1837e4,THIEF,Gen 0 - RARE,Thief,Monk,gardening,female,fire,2508,2,177,46,0,26,∞,END,VIT,8,8,7,8,8,9,12,11,6,24,17,21
9, Professor Tango,0xca29713bca46e6854d50fe5e6c48b6e763c93f47,PRIEST,Gen 0 - MYTHIC,Priest,Knight,gardening,male,light,3226,3,151,84,0,26,∞,WIS,VIT,7,13,20,12,7,14,10,7,2,61,7,7
17, luuk,0x3a74a0539d4182e7f2251412737e758e915ba679,KNIGHT,Gen 0 - MYTHIC,Knight,Pirate,mining,male,dark,1226,4,217,50,0,27,∞,STR,END,15,15,10,14,8,9,11,11,61,0,15,23
25, gretel,0x8b6ebcc80d06f8ceeff615fae15ac3d68b831d38,WIZARD,Gen 0 - RARE,Wizard,Pirate,gardening,male,earth,1254,3,129,89,0,26,∞,INT,VIT,7,7,14,11,6,18,9,9,9,45,23,0
3, Raspberry Swirl,0xd83d5ebbe238aefb7802506ac8386882b5cc8186,PRIEST,Gen 0 - MYTHIC,Priest,Thief,mining,female,light,1810,2,153,76,0,26,∞,STR,END,8,10,15,9,6,11,12,8,30,0,0,23
32, Joe,0x5dbd454952e6aac62688251b7483504161f06825,KNIGHT,Gen 0 - RARE,Knight,Thief,gardening,male,ice,2138,2,189,40,0,26,∞,END,STR,11,15,6,13,6,6,8,7,0,31,7,17
29, Grizzmancer,0x244729f7e533bdc671e1c5d6419c0c2c215a5334,ARCHER,Gen 0 - RARE,Archer,Pirate,foraging,male,ice,583,3,188,61,0,26,∞,DEX,LCK,9,10,8,9,16,10,10,9,0,0,79,0
15, Ansem,0x3652d6a03d22cdf41973829f0e0ac239ebebad3c,WIZARD,Gen 0 - MYTHIC,Wizard,Priest,gardening,male,ice,1868,3,188,90,0,26,∞,INT,WIS,6,8,17,10,6,18,10,10,0,55,11,14
