heroID,userName,walletAddr,tokenData,walletONEbalance,mainClass,Level,Summoner,Assistant,Main class,Sub class,Profession,Gender,Element,Xp,Level,Hp,Mp,Sp,Stamina,Summons,Stat boost1,Stat boost2,Strength,Endurance,Wisdom,Vitality,Dexterity,Intelligence,Luck,Agility,Mining,Gardening,Foraging,Fishing
3, Raspberry Swirl,0xd83d5ebbe238aefb7802506ac8386882b5cc8186,29.0 DFKGLDVN;622.0 DFKRGWD;1510.0 DFKTEARS;9796.5 DFKGOLD;0.012926211897409603 AVAX;151.0 DFKSHVAS;10158.964518703553 JEWEL;72.0 DFKSWFTHSL;269.0 DFKBLOATER;2.0 DFKGREGG;1.0 DFKGOLDEGG;151.0 DFKRDLF;541.0 DFKAMBRTFY;10005.39907977321 xJEWEL;434.0 DFKRCKRT;1.0 DFKBLUEEGG;699.0 DFKDRKWD;1.0 HSNAKE;4e-18 FTM;48869.0 JEWEL;1e-18 UST;100.0 ANT;1e-06 1USDC;,164099.68699694547,PRIEST,Gen 0 - MYTHIC,,,Priest,Thief,mining,female,light,2110,2,153,76,0,26,∞,STR,END,8,10,15,9,6,11,12,8,35,0,0,23
31, Ixabache,0xcb329f653898c95fa6616d633132f44c06422c11,1167.0 DFKTEARS;163.0 DFKRGWD;64.0 DFKRCKRT;1.0 DFKBLUEEGG;3.0 DFKGLDVN;4.05226476715e-07 AVAX;159.0 DFKBLOATER;33.0 DFKAMBRTFY;6.958371953857431 FATE;46.0 DFKRDLF;50.0 DFKDRKWD;23.0 DFKSHVAS;36.17003586641409 JEWEL;7.0 DFKSWFTHSL;1572.0921991064497 xJEWEL;0.007268551569614194 PLTS;0.055241955 sWAGMI;1.0 DFKGREGG;82.71272322509778 SPAM;1.0 HSNAKE;150.0 GAME;1.5503224471774937 VINCI;1.5785047374552035 oSWAP;16.104682849582915 RADI;14.230350782644745 JEWEL-LP;,6.225552857088239,WIZARD,Gen 0 - RARE,,,Wizard,Warrior,gardening,female,fire,3486,4,185,88,0,27,∞,VIT,INT,6,11,16,11,7,17,9,8,2,98,47,1
13, missfreyala,0xb0b9a0b9b0fa21ad39835f1671c43ef7a3e57879,231.0 DFKRGWD;2.4050784404665877 JEWEL;492.5 DFKGOLD;13.0 DFKRDLF;608.2227415429909 xJEWEL;138.0 DFKRCKRT;4.0 DFKBLOATER;7.0 DFKAMBRTFY;891.0 DFKTEARS;203.0 DFKDRKWD;27.0 DFKGLDVN;41.0 DFKSWFTHSL;19.0 DFKSHVAS;2.0 DFKGOLDEGG;2.25e-16 VNL;5487.300930976056 VENOM-LP;100000.0 SNPY;10000.0 VALI;6022.679463037927 VENOM-LP;44.50927973234848 JARM;10000000.0 AMOR;7000000.0 HBTC;2030886.45616 FYLA;0.000403380183910941 MOCHI-LP;1000000.0 HBTC;,2579.6409974273797,THIEF,Gen 0 - MYTHIC,,,Thief,Thief,foraging,female,dark,2670,5,233,72,0,27,∞,INT,DEX,13,7,16,11,13,16,21,11,0,0,162,0
15, Ansem,0x3652d6a03d22cdf41973829f0e0ac239ebebad3c,493.17753323229704 JEWEL;154.0 DFKSHVAS;1889.0 DFKRDLF;364.0 DFKGLDVN;6603.0 DFKTEARS;2691.0 DFKRCKRT;1863.0 DFKDRKWD;5.0 DFKGREGG;6863.0 DFKRGWD;1400.0 DFKAMBRTFY;45171.38649764087 xJEWEL;25540.745 DFKGOLD;5475.0 DFKBLOATER;306.0 DFKSWFTHSL;1e-08 1WBTC;0.05419305271620566 1ETH;2e-18 1SUPERBID;1.5e-17 XYA;5e-18 BUSD;7e-18 MIS;4e-18 WMATIC;3e-18 FTM;1e-18 bscBNB;4.0 DFKBLUEEGG;3.0 DFKGOLDEGG;,457.6942616040797,WIZARD,Gen 0 - MYTHIC,,,Wizard,Priest,gardening,male,ice,2782,3,188,90,0,26,∞,INT,WIS,6,8,17,10,6,18,10,10,0,68,11,14
10, Tadakichi,0xde7f87a0b3cf4c94f0b46957c03e73902cc120a9,0.005 JEWEL;8432.5 DFKGOLD;5.0 DFKSHVAS;184.0 DFKDRKWD;433.0 DFKTEARS;208.0 DFKRCKRT;11983.063231104778 xJEWEL;103.0 DFKAMBRTFY;42.0 DFKSWFTHSL;1321.0 JEWEL;,10.723807920069026,KNIGHT,Gen 0 - MYTHIC,,,Knight,Pirate,fishing,female,earth,215,3,219,43,0,26,∞,AGI,LCK,16,15,6,13,8,9,12,9,0,0,0,80
1, FriskyFox,0x2e7669f61ea77f02445a015fbdcfe2de47083e02,343.0 DFKDRKWD;34.0 DFKGLDVN;48.0 DFKSHVAS;319.82118290871114 JEWEL;153615.03061378511 UST;208.0 DFKAMBRTFY;1251.0 DFKRGWD;344.0 DFKRDLF;45.0 DFKSWFTHSL;387.0 DFKRCKRT;12129.294 DFKGOLD;0.86291577 1WBTC;9.731228004530319 1ETH;710.0 DFKBLOATER;187.55139571644582 LUNA;47929.16597092292 xJEWEL;903.0 DFKTEARS;391354.434277 1USDC;2.7861181922617817 MIS;1.0 DFKGREGG;1.0 HSNAKE;1e-18 WMATIC;6e-18 BUSD;1e-18 bscBNB;0.3 FTM;219.27585339834556 AVAX;663.32495807108 JEWEL-LP;57.63158494247134 JEWEL-LP;6.039451255370141 JEWEL-LP;0.11622776601683693 JEWEL-LP;50.0 xJEWEL;105452.4 JEWEL;10.00331256438399 bscBUSD;1e-18 1SUPERBID;2.76 JEWEL-LP;,251079.2027986313,THIEF,Gen 0 - MYTHIC,,,Thief,Wizard,gardening,female,fire,2623,2,177,51,0,26,∞,INT,LCK,12,7,9,8,9,9,14,13,2,19,15,16
20, Thoral,0xd021bff301828ab0f8fa71516d0414ff4ef2b8e1,90.0 DFKRDLF;1.0 DFKGLDVN;5.0 DFKSWFTHSL;45.0 DFKAMBRTFY;140.0 DFKBLOATER;98.0 DFKRCKRT;348.0 DFKTEARS;73.0 DFKDRKWD;2559.994 DFKGOLD;281.0 DFKRGWD;13.0 DFKSHVAS;0.75 XYA;5.0153136462e-08 UST;,9.999999996623005,WIZARD,Gen 0 - LEGENDARY,,,Wizard,Knight,gardening,female,light,821,1,100,75,0,25,∞,END,DEX,5,9,12,9,6,13,8,6,0,2,2,7
25, gretel,0x8b6ebcc80d06f8ceeff615fae15ac3d68b831d38,1.2435543060864345 JEWEL;1495.0 DFKTEARS;660.922947220937 xJEWEL;235432.09282301 KURO;16.0 DFKDRKWD;38.0 DFKRGWD;31.0 DFKRCKRT;19.0 DFKAMBRTFY;21.0 DFKRDLF;1.0 DFKSWFTHSL;829.6891818649199 MAGIC;28.21524395102807 rPXL;7.0 DFKSHVAS;59.03532416560491 TRANQ;544.0682062606022 BOSS;5437.561345661513 WONE;16824.030448157 SMUG;1.0 HSNAKE;2.0 DFKBLOATER;2145.5323048435966 LOOT;1.95068806e-10 VENOM-LP;0.9703645853538108 CGS;54.0 VNL;6.68e-07 DKBTC;4.6996e-05 DKONE;51.83051506559195 VENOM-LP;0.000711257978356914 YANG;9e-09 ONEMOON;666666.0 SCORP;2e-09 OneGalaxy;200.0 ANT;52670595036.26137 CREDIT;23.93001143343874 GAME;0.07673823244214517 bscUSDC;2.2959119852891505 bscCOBRA;2837.492 DFKGOLD;1.0 DFKGLDVN;28.21524395102807 PXL;6.132384916238e-06 CSHARE;302.4387778854483 1AAG;1e-18 AVAX;,10.536334613137662,WIZARD,Gen 0 - RARE,,,Wizard,Pirate,gardening,male,earth,1816,3,129,89,0,26,∞,INT,VIT,7,7,14,11,6,18,9,9,9,48,23,0
12, Xeno,0x1deb3d3820176d5fb474a6254bca06fcc75a2866,1139.0 DFKBLOATER;214.0 DFKRCKRT;129.0 DFKRDLF;110.0 DFKAMBRTFY;37.0 DFKGLDVN;1.2e-17 MIS;33.027477 1USDC;153.0 DFKDRKWD;552.0 DFKRGWD;1.0 DFKGOLDEGG;4221.746 DFKGOLD;1e-18 AVAX;31.0 DFKSHVAS;2065.0 DFKTEARS;32.0 DFKSWFTHSL;15750.882041083218 xJEWEL;7204.98708080885 JEWEL-LP;1.0 DFKGREGG;2.0 DFKBLUEEGG;1.0 HSNAKE;,414017.1295330405,THIEF,Gen 0 - MYTHIC,,,Thief,Knight,mining,male,dark,2649,2,158,46,0,26,∞,STR,END,12,10,8,7,9,6,13,15,26,0,19,14
41, Sanjuro,0x1297f4495e9f74f53de712ee6038163b21bb84e4,638.0 DFKRCKRT;87.0 DFKRDLF;323.0 DFKAMBRTFY;302.0 DFKRGWD;0.5609490329173032 JEWEL;12.0 DFKSHVAS;1.1572688830261175 LUNA;435.2884122386217 WMATIC;3110.0 DFKTEARS;1200.0 xJEWEL;470.0 DFKDRKWD;1.0 DFKGREGG;257.0 DFKBLOATER;17.0 DFKGLDVN;79.0 DFKSWFTHSL;0.6634328937454212 1ETH;25312.107 DFKGOLD;0.5000001654011887 UST;1.0 DFKBLUEEGG;100.0 TET;,6758.689922945796,KNIGHT,Gen 0 - RARE,,,Knight,Knight,fishing,female,light,2611,5,272,63,0,27,∞,STR,VIT,19,14,7,16,7,10,12,10,13,0,0,140
